WONo,PlannedLabour,PlannedLabourST,PlannedLabourTotalRT,PlannedHours,PlannedHoursST,PlannedHoursTotalRT,ActualLabour,ActualLabourST,ActualLabourUnit,ActualHours,ActualHoursST,ActualHoursUnit,OutstandingPlannedHours,OutstandingPlannedLabourCost
16608,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16607,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16606,550,0,550,11,0,11,690,0,690,13.8,0,13.8,0,0
16605,13700,0,13700,274,0,274,14664.16667,0,14664.16667,293.2833333,0,293.2833333,79.03333335,3951.666668
16604,4650,0,4650,93,0,93,5703.333335,0,5703.333335,114.0666666,0,114.0666666,29.08333335,1454.166668
16603,3940,0,3940,78.8,0,78.8,4430.833334,0,4430.833334,88.61666667,0,88.61666667,0,0
16602,4200,0,4200,84,0,84,4231.666667,0,4231.666667,84.63333334,0,84.63333334,0,0
16601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16600,11200,0,11200,224,0,224,5681.666666,0,5681.666666,113.6333333,0,113.6333333,110.3666667,5518.333334
16599,6950,0,6950,139,0,139,7794.166668,0,7794.166668,155.8833333,0,155.8833333,10.8,540
16598,700,0,700,14,0,14,821.666668,0,821.666668,16.43333334,0,16.43333334,1.56666667,78.3333335
16597,10000,0,10000,200,0,200,19545.83333,0,19545.83333,390.9166666,0,390.9166666,0,0
16596,30000,0,30000,600,0,600,88762.5,0,88762.5,1775.25,0,1775.25,0,0
16595,125000,0,125000,2500,0,2500,177931.6667,0,177931.6667,3558.633333,0,3558.633333,0,0
16594,50,0,50,1,0,1,0,0,0,0,0,0,1,50
16593,0.013889,0,0.013889,0.00027778,0,0.00027778,0,0,0,0,0,0,0.00027778,0.013889
16592,0.013889,0,0.013889,0.00027778,0,0.00027778,0,0,0,0,0,0,0.00027778,0.013889
16591,0.013889,0,0.013889,0.00027778,0,0.00027778,0,0,0,0,0,0,0.00027778,0.013889
16590,0.013889,0,0.013889,0.00027778,0,0.00027778,0,0,0,0,0,0,0.00027778,0.013889
16589,4100,0,4100,82,0,82,4709.166672,33.333334,4675.833338,94.18333334,0.66666667,93.51666667,17.76666668,888.333334
16588,3725,0,3725,74.5,0,74.5,5728.333336,0,5728.333336,114.5666666,0,114.5666666,16.56666668,828.333334
16587,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16586,5000,0,5000,100,0,100,5996.666672,0,5996.666672,119.9333333,0,119.9333333,28.89999999,1445
16585,4450,0,4450,89,0,89,5561.666672,0,5561.666672,111.2333333,0,111.2333333,15.50000001,775.0000005
16584,0,0,0,0,0,0,37.5,0,37.5,0.75,0,0.75,0,0
16583,0,0,0,0,0,0,290,0,290,5.8,0,5.8,0,0
16582,5250,0,5250,105,0,105,0,0,0,0,0,0,105,5250
16581,5250,0,5250,105,0,105,410.000001,0,410.000001,8.2,0,8.2,96.8,4840
16580,1600,0,1600,32,0,32,654.166667,0,654.166667,13.08333333,0,13.08333333,18.91666667,945.8333335
16579,15900,0,15900,318,0,318,1110,0,1110,22.19999999,0,22.19999999,314,15700
16578,500,0,500,10,0,10,550,0,550,11,0,11,0,0
16577,40737.5,0,40737.5,814.75,0,814.75,46786.66667,0,46786.66667,935.2333332,0,935.2333332,232.8,11640
16576,850,0,850,17,0,17,624.166668,0,624.166668,12.48333333,0,12.48333333,5.7,285
16575,11600,0,11600,232,0,232,27420.83334,0,27420.83334,548.4166666,0,548.4166666,38.88333333,1944.166667
16574,24050,0,24050,481,0,481,31396.66667,0,31396.66667,627.9333332,0,627.9333332,101.6000001,5080.000003
