WONo,PlannedLabour,PlannedLabourST,PlannedLabourTotalRT,PlannedHours,PlannedHoursST,PlannedHoursTotalRT,ActualLabour,ActualLabourST,ActualLabourUnit,ActualHours,ActualHoursST,ActualHoursUnit,OutstandingPlannedHours,OutstandingPlannedLabourCost
5194,1164.58750000000000,0.00000000000000,1164.58750000000000,51.75000000,0.00000000,51.75000000,1055.087500,0.000000,1055.087500,45.00000000,0.00000000,45.00000000,24.50000000,551.2375000000000
5195,1239.38750000000000,0.00000000000000,1239.38750000000000,62.25000000,0.00000000,62.25000000,2749.887500,0.000000,2749.887500,120.50000000,0.00000000,120.50000000,7.50000000,130.1250000000000
5196,515.80000249000000,0.00000000000000,515.80000249000000,25.16666680,0.00000000,25.16666680,682.260000,0.000000,682.260000,31.43333333,0.00000000,31.43333333,7.50000000,160.0000000000000
5197,515.80000249000000,0.00000000000000,515.80000249000000,25.16666680,0.00000000,25.16666680,998.620000,0.000000,998.620000,44.94999999,0.00000000,44.94999999,1.33333340,25.7833344900000
5198,750.26666898000000,0.00000000000000,750.26666898000000,36.66666680,0.00000000,36.66666680,1268.007500,0.000000,1268.007500,57.69999999,0.00000000,57.69999999,6.91666680,144.8916689800000
5199,578.29999861200000,0.00000000000000,578.29999861200000,25.99999992,0.00000000,25.99999992,156.875000,0.000000,156.875000,7.50000000,0.00000000,7.50000000,18.49999992,429.6249986120000
5200,670.68083327550000,0.00000000000000,670.68083327550000,34.18333333,0.00000000,34.18333333,619.837500,0.000000,619.837500,29.00000000,0.00000000,29.00000000,11.18333333,204.7933332755000
5201,818.64999996900000,0.00000000000000,818.64999996900000,37.00000000,0.00000000,37.00000000,2727.812500,0.000000,2727.812500,121.50000000,0.00000000,121.50000000,1.50000000,29.0250000000000
5202,10848.93000027300000,0.00000000000000,10848.93000027300000,466.25000001,0.00000000,466.25000001,19953.300000,0.000000,19953.300000,850.50000000,0.00000000,850.50000000,119.25000000,2856.1875000000000
5203,796.02500000000000,0.00000000000000,796.02500000000000,37.75000000,0.00000000,37.75000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,37.75000000,796.0250000000000
5204,266.90000000000000,0.00000000000000,266.90000000000000,17.00000000,0.00000000,17.00000000,819.275000,0.000000,819.275000,41.50000000,0.00000000,41.50000000,0.00000000,0.0000000000000
5205,407.87083340000000,0.00000000000000,407.87083340000000,18.66666667,0.00000000,18.66666667,843.737500,0.000000,843.737500,35.50000000,0.00000000,35.50000000,0.66666667,11.5666667245000
5206,34.70000000000000,0.00000000000000,34.70000000000000,2.00000000,0.00000000,2.00000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,2.00000000,34.7000000000000
5207,321.75000000000000,0.00000000000000,321.75000000000000,16.75000000,0.00000000,16.75000000,148.862500,0.000000,148.862500,6.75000000,0.00000000,6.75000000,15.50000000,300.0625000000000
5208,7661.95000000000000,0.00000000000000,7661.95000000000000,340.50000000,0.00000000,340.50000000,8134.000000,0.000000,8134.000000,342.25000000,0.00000000,342.25000000,64.00000000,1457.2000000000000
5209,60.00000000000000,0.00000000000000,60.00000000000000,3.00000000,0.00000000,3.00000000,69.225000,0.000000,69.225000,3.00000000,0.00000000,3.00000000,0.00000000,0.0000000000000
5210,1615.26250000000000,0.00000000000000,1615.26250000000000,79.75000000,0.00000000,79.75000000,1343.325000,0.000000,1343.325000,60.75000000,0.00000000,60.75000000,39.00000000,808.8875000000000
5211,2205.50000000000000,0.00000000000000,2205.50000000000000,90.00000000,0.00000000,90.00000000,2524.262500,0.000000,2524.262500,99.50000000,0.00000000,99.50000000,6.00000000,147.8250000000000
5212,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000000000000
5213,235.00000000000000,0.00000000000000,235.00000000000000,11.75000000,0.00000000,11.75000000,386.250000,0.000000,386.250000,17.00000000,0.00000000,17.00000000,3.50000000,60.7250000000000
5214,202.40000000000000,0.00000000000000,202.40000000000000,8.00000000,0.00000000,8.00000000,320.775000,0.000000,320.775000,12.75000000,0.00000000,12.75000000,0.00000000,0.0000000000000
5215,245.20500000000000,0.00000000000000,245.20500000000000,12.30000000,0.00000000,12.30000000,290.700000,0.000000,290.700000,13.75000000,0.00000000,13.75000000,4.00000000,80.0000000000000
5216,330.79000138800000,0.00000000000000,330.79000138800000,15.40000008,0.00000000,15.40000008,142.962500,0.000000,142.962500,6.00000000,0.00000000,6.00000000,10.55000008,228.0925013880000
5217,810.49250173500000,0.00000000000000,810.49250173500000,37.55000010,0.00000000,37.55000010,376.362500,0.000000,376.362500,15.25000000,0.00000000,15.25000000,22.30000010,468.3925017350000
5218,1804.00000000000000,0.00000000000000,1804.00000000000000,82.00000000,0.00000000,82.00000000,1084.850000,0.000000,1084.850000,48.50000000,0.00000000,48.50000000,57.25000000,1259.5000000000000
5219,0.00519448600000,0.00000000000000,0.00519448600000,0.00027778,0.00000000,0.00027778,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.00027778,0.0051944860000
5220,4.33750000000000,0.00000000000000,4.33750000000000,0.25000000,0.00000000,0.25000000,4600.687500,0.000000,4600.687500,196.75000000,0.00000000,196.75000000,0.25000000,4.3375000000000
5221,100.00000000000000,0.00000000000000,100.00000000000000,5.00000000,0.00000000,5.00000000,55.000000,0.000000,55.000000,2.50000000,0.00000000,2.50000000,2.50000000,50.0000000000000
5222,92.00249962650000,0.00000000000000,92.00249962650000,5.14999998,0.00000000,5.14999998,75.537500,0.000000,75.537500,3.50000000,0.00000000,3.50000000,2.25000000,39.0375000000000
5223,178.80000000000000,0.00000000000000,178.80000000000000,10.00000000,0.00000000,10.00000000,209.787500,0.000000,209.787500,11.00000000,0.00000000,11.00000000,0.50000000,8.6750000000000
5224,2098.86250000000000,0.00000000000000,2098.86250000000000,100.75000000,0.00000000,100.75000000,2655.762500,0.000000,2655.762500,126.91666666,0.00000000,126.91666666,20.33333334,427.7500001290000
5225,0.00555560000000,0.00000000000000,0.00555560000000,0.00027778,0.00000000,0.00027778,1136.125000,0.000000,1136.125000,49.00000000,0.00000000,49.00000000,0.00000000,0.0000000000000
5226,0.00555560000000,0.00000000000000,0.00555560000000,0.00027778,0.00000000,0.00027778,167.075000,0.000000,167.075000,8.00000000,0.00000000,8.00000000,0.00000000,0.0000000000000
5227,116.35000000000000,0.00000000000000,116.35000000000000,5.95000000,0.00000000,5.95000000,149.550000,0.000000,149.550000,7.25000000,0.00000000,7.25000000,1.40000000,29.4575000000000
5228,3619.00000000000000,0.00000000000000,3619.00000000000000,152.75000000,0.00000000,152.75000000,9365.387500,0.000000,9365.387500,380.00000000,0.00000000,380.00000000,16.00000000,421.9500000000000
5229,0.00611116000000,0.00000000000000,0.00611116000000,0.00027778,0.00000000,0.00027778,68.187500,0.000000,68.187500,3.25000000,0.00000000,3.25000000,0.00000000,0.0000000000000
5230,434.80000000000000,0.00000000000000,434.80000000000000,20.00000000,0.00000000,20.00000000,757.050000,0.000000,757.050000,32.75000000,0.00000000,32.75000000,5.00000000,96.7500000000000
5231,0.00611116000000,0.00000000000000,0.00611116000000,0.00027778,0.00000000,0.00027778,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.00027778,0.0061111600000
5232,352.00000000000000,0.00000000000000,352.00000000000000,16.00000000,0.00000000,16.00000000,354.200000,0.000000,354.200000,15.50000000,0.00000000,15.50000000,0.50000000,11.0000000000000
5233,44.00000000000000,0.00000000000000,44.00000000000000,2.00000000,0.00000000,2.00000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,2.00000000,44.0000000000000
5234,44.00000000000000,0.00000000000000,44.00000000000000,2.00000000,0.00000000,2.00000000,48.200000,0.000000,48.200000,2.00000000,0.00000000,2.00000000,0.00000000,0.0000000000000
5235,38.69999961300000,0.00000000000000,38.69999961300000,1.99999998,0.00000000,1.99999998,24.187500,0.000000,24.187500,1.25000000,0.00000000,1.25000000,0.75000000,14.5125000000000
5236,262.67500000000000,0.00000000000000,262.67500000000000,12.00000000,0.00000000,12.00000000,282.950000,0.000000,282.950000,13.00000000,0.00000000,13.00000000,4.50000000,99.0000000000000
5237,58.05000000000000,0.00000000000000,58.05000000000000,3.00000000,0.00000000,3.00000000,19.350000,0.000000,19.350000,1.00000000,0.00000000,1.00000000,2.00000000,38.7000000000000
5238,0.00537504300000,0.00000000000000,0.00537504300000,0.00027778,0.00000000,0.00027778,85.000000,0.000000,85.000000,4.25000000,0.00000000,4.25000000,0.00000000,0.0000000000000
5239,713.33333288000000,0.00000000000000,713.33333288000000,30.99999998,0.00000000,30.99999998,873.750000,0.000000,873.750000,37.75000000,0.00000000,37.75000000,7.08333332,164.3333330400000
5240,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000000000000
5241,58.05000000000000,0.00000000000000,58.05000000000000,3.00000000,0.00000000,3.00000000,9.675000,0.000000,9.675000,0.50000000,0.00000000,0.50000000,2.50000000,48.3750000000000
